Ticker,Company,Market Value,Weighting,Type,YTD,YOY,Category Logic
MSFT,MICROSOFT CORP,"$637,689,892.53",9.70,1,#N/A,#N/A,"OS, Office, Teams. The primary interface for global work."
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,"$536,384,467.17",8.16,1,#N/A,16.50%,Foundry/Gotham. Analysts use these dashboards for intel/decisions.
CRM,SALESFORCE INC,"$506,098,317.12",7.70,1,-27.77%,-41.52%,CRM. Salespeople input/track data via UI manually.
ORCL,ORACLE CORP,"$474,470,126.88",7.22,1,#N/A,-20.18%,ERP/HCM. Back-office applications used by HR/Finance staff.
INTU,INTUIT INC,"$339,387,237.42",5.16,1,-33.01%,-24.38%,TurboTax/QuickBooks. Visual financial tools for consumers/SMBs.
ADBE,ADOBE INC,"$321,491,911.73",4.89,1,-23.32%,-40.51%,Creative Cloud. Designers stare at this UI all day.
PANW,PALO ALTO NETWORKS INC,"$301,777,510.65",4.59,2,-13.51%,-18.88%,Firewalls/Security. Network layer protection; low human interaction.
APP,APPLOVIN CORP CLASS A,"$284,234,848.85",4.32,2,-39.64%,5.81%,"AdTech/Algorithms. Automated mediation engines; no ""user""."
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,"$269,776,136.28",4.10,2,-15.63%,-7.79%,"Endpoint Security. Background agent; ""set and forget""."
NOW,SERVICENOW INC,"$246,737,914.50",3.75,1,-34.24%,-50.70%,ITSM. IT staff manage tickets and workflows via dashboard.
SNPS,SYNOPSYS INC,"$217,360,815.20",3.31,1,-9.12%,-19.66%,EDA. Engineers use this interface to design silicon chips.
CDNS,CADENCE DESIGN SYSTEMS INC,"$209,612,431.60",3.19,1,-9.30%,-7.23%,EDA. Visual workspace for electronic design.
ADSK,AUTODESK INC,"$144,560,982.76",2.20,1,-18.79%,-21.18%,CAD/Revit. Architects/Engineers click to draw 3D models.
FTNT,FORTINET INC,"$142,212,127.50",2.16,2,4.22%,-24.45%,Firewalls/Security. Infrastructure hardware/software.
EA,ELECTRONIC ARTS INC,"$126,702,118.48",1.93,1,-2.12%,51.41%,Video Games. Pure visual entertainment for humans.
ROP,ROPER TECHNOLOGIES INC,"$107,713,125.00",1.64,2,-18.58%,-36.92%,Industrial/Backend. Automated controls and vertical software.
DDOG,DATADOG INC CLASS A,"$99,018,544.04",1.51,2,-17.87%,-24.07%,Observability. Monitoring servers/logs; automated alerting.
WDAY,WORKDAY INC CLASS A,"$98,194,647.60",1.49,1,-24.15%,-39.63%,HCM/Finance. Corporate dashboard for employee management.
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,"$95,688,583.20",1.46,1,-23.61%,-7.96%,Video Games (GTA). Human entertainment interface.
FICO,FAIR ISAAC CORP,"$91,761,613.36",1.40,2,-17.72%,-25.11%,"Scoring/Decisioning. Value is the ""Score"" (API), not the UI."
MSTR,STRATEGY INC CLASS A,"$81,652,307.23",1.24,1,-11.20%,-59.68%,"BI Dashboards. (Note: Stock moves on Bitcoin, not software)."
ZM,ZOOM COMMUNICATIONS INC CLASS A,"$67,679,509.88",1.03,1,6.85%,5.86%,Video Conferencing. Human-to-human visual connection.
PTC,PTC INC,"$52,591,907.66",0.80,1,-10.61%,-7.54%,CAD/PLM. Industrial design software for engineers.
ZS,ZSCALER INC,"$48,892,390.82",0.74,2,-25.60%,-21.27%,Security Service Edge. Network traffic filtering infrastructure.
TEAM,ATLASSIAN CORP CLASS A,"$47,115,755.70",0.72,1,-41.58%,-70.67%,Jira/Confluence. Project management UI for developers.
TRMB,TRIMBLE INC,"$43,346,258.06",0.66,1,-15.57%,-11.04%,Industrial UI. GPS/Construction hardware-software interface.
TYL,TYLER TECHNOLOGIES INC,"$41,761,144.62",0.64,1,-23.26%,-43.06%,GovTech. Courts/Public sector management UI.
GEN,GEN DIGITAL INC,"$35,909,981.40",0.55,2,-10.81%,-13.76%,Consumer Security. Background AV/Identity protection.
HUBS,HUBSPOT INC,"$33,329,287.19",0.51,1,-42.04%,-71.13%,CRM/Marketing. Marketers use this UI for campaigns.
GWRE,GUIDEWIRE SOFTWARE INC,"$30,560,008.41",0.46,1,-36.23%,-41.23%,P&C Insurance. Claims/Policy management UI.
NTNX,NUTANIX INC CLASS A,"$29,653,050.24",0.45,2,-22.11%,-43.89%,HCI/Cloud Infra. Backend infrastructure management.
DT,DYNATRACE INC,"$28,783,731.42",0.44,2,-22.22%,-44.93%,Observability. Automated app performance monitoring.
DOCU,DOCUSIGN INC,"$26,138,684.88",0.40,1,-31.10%,-48.13%,eSignature. Humans click to sign documents.
CFLT,CONFLUENT INC CLASS A,"$25,863,775.08",0.39,2,1.09%,-2.83%,Data Streaming. Kafka APIs; plumbing for real-time data.
